Test_ID	Hit
XLOC_003064	&Salpingoeca sp. ATCC 50818 myosin (PTSG_02918) mRNA, complete cds&Capsaspora owczarzaki ATCC 30864 myosin-VI mRNA&Salpingoeca sp. ATCC 50818 myosin-VIIa (PTSG_01118) mRNA, complete cds&Culex quinquefasciatus myosin-Va, mRNA&Sus scrofa myosin VIIA (MYO7A), mRNA >gi|146741343|dbj|AB271952.1| Sus scrofa MYO7A mRNA for myosin VIIA, complete cds&Sus scrofa myosin-VIIa mRNA, motor domain, partial cds&Salpingoeca sp. ATCC 50818 myosin VIIa (PTSG_00762) mRNA, complete cds&Acanthamoeba castellanii str. Neff myosin head (motor domain) domain containing protein (ACA1_383050) mRNA, complete cds&Aedes aegypti AAEL009357-RA partial mRNA&Anopheles gambiae str. PEST AGAP006479-PA (AgaP_AGAP006479) mRNA, complete cds
XLOC_014163	&Stereum hirsutum FP-91666 SS1 mitochondrial chaperone BCS1 (STEHIDRAFT_118952), mRNA&Punctularia strigosozonata HHB-11173 SS5 P-loop containing nucleoside triphosphate hydrolase protein (PUNSTDRAFT_127854), mRNA&Auricularia delicata TFB-10046 SS5 P-loop containing nucleoside triphosphate hydrolase protein (AURDEDRAFT_90038), partial mRNA&Arthroderma otae CBS 113480 mitochondrial chaperone BCS1, mRNA&Trichophyton rubrum CBS 118892 mitochondrial chaperone BCS1 (TERG_03112) mRNA, complete cds&Arthroderma gypseum CBS 118893 mitochondrial chaperone BCS1 (MGYG_08059) mRNA, complete cds&Zea mays uncharacterized LOC100501525 (LOC100501525), mRNA >gi|391417047|gb|BT085525.2| Zea mays full-length cDNA clone ZM_BFc0029O17 mRNA, complete cds&Phyllostachys edulis cDNA clone: bbasst002o07, full insert sequence&Acanthamoeba castellanii str. Neff ATPase, AAA domain containing protein (ACA1_140770) mRNA, complete cds&Picea glauca clone GQ0205_N09 mRNA sequence
XLOC_041094	
XLOC_036699	&Drosophila melanogaster cuticular protein 49Ac (Cpr49Ac), transcript variant G, mRNA&Drosophila melanogaster cuticular protein 49Ac (Cpr49Ac), transcript variant F, mRNA&Drosophila melanogaster cuticular protein 49Ac (Cpr49Ac), transcript variant E, mRNA&Drosophila melanogaster cuticular protein 49Ac (Cpr49Ac), transcript variant D, mRNA&Drosophila melanogaster cuticular protein 49Ac (Cpr49Ac), transcript variant A, mRNA&Drosophila melanogaster cuticular protein 49Ac (Cpr49Ac), transcript variant C, mRNA&Synthetic construct Drosophila melanogaster clone BS09188 encodes Cpr49Ac-RA&Synthetic construct Drosophila melanogaster clone BO15821 encodes Cpr49Ac-RC&Synthetic construct Drosophila melanogaster clone BO09488 encodes Cpr49Ac-RA&Drosophila melanogaster LP04723 full insert cDNA
XLOC_017457	&Populus trichocarpa RNA-binding family protein (POPTR_0008s18340g) mRNA, complete cds
XLOC_043709	&Bombyx mori nicotinic acetylcholine receptor subunit alpha 7 (nAChRa7), transcript variant 2, mRNA >gi|157427761|gb|EU082084.2| Bombyx mori nicotinic acetylcholine receptor subunit alpha 7 (achra7) mRNA, complete cds&Auricularia delicata TFB-10046 SS5 DNA helicase (AURDEDRAFT_67866), partial mRNA&Drosophila ananassae GF12968 (Dana\GF12968), mRNA
XLOC_011335	&Cavia porcellus antizyme inhibitor 2 (Azin2), mRNA&Neofusicoccum parvum UCRNP2 putative fact complex subunit pob3 protein mRNA&Uncultured bacterium nifH gene for dinitrogenase reductase, partial cds, clone: SE_V86&Uncultured Rhizobium sp. clone SN2P2027 nitrogenase iron protein (nifH) gene, partial cds&Uncultured bacterium partial nifH gene for dinitrogenase reductase, clone GYMA-5A
XLOC_043997	
XLOC_013019	&Rattus norvegicus peroxisome proliferator activated receptor delta mRNA, complete cds&Rattus norvegicus PPAR delta protein (PPAR delta) mRNA, complete cds&Homo sapiens rhodopsin kinase gene, promoter region, exon 1 and partial cds&Rattus norvegicus peroxisome proliferator-activated receptor delta (Ppard), mRNA&Drosophila erecta GG19031 (Dere\GG19031), mRNA
XLOC_006706	&Acanthamoeba castellanii str. Neff H(+)-transporting atpase family protein (ACA1_022710) mRNA, complete cds&Micromonas sp. RCC299 chromosome 2 H+-or Na+-translocating f-type, v-type and A-type ATPase superfamily (MICPUN_55906) mRNA, complete cds&Chlamydomonas reinhardtii vacuolar ATP synthase subunit B (ATPvB) mRNA, complete cds&Saprolegnia diclina VS20 V-type proton ATPase subunit B mRNA&Drosophila melanogaster vacuolar H[+]-ATPase 55kD subunit (Vha55), transcript variant C, mRNA&Drosophila melanogaster vacuolar H[+]-ATPase 55kD subunit (Vha55), transcript variant A, mRNA&Drosophila melanogaster vacuolar H[+]-ATPase 55kD subunit (Vha55), transcript variant B, mRNA&Synthetic construct Drosophila melanogaster clone BS07855 encodes Vha55-RA&Synthetic construct Drosophila melanogaster clone BO08355 encodes Vha55-RA&Drosophila melanogaster GH27148 full length cDNA
