Test_ID	Gene	Locus	GO_Term	ConstantCO2_LowpH	ConstantCO2_HighpH	pH7_LowCO2_2	pH7_MidCO2	pH7_HighCO2	pH8_LowCO2	pH8_MidCO2
XLOC_017763	EMIHUDRAFT_244971	EMIHUscaffold_440:17895-19138	None	3.85323718489	3.84383313683	3.82162858924	3.83388184238	3.67139528611	3.73728655811	3.77202287092
XLOC_017767	-	EMIHUscaffold_440:32682-33281	None	5.69662819227	4.53270345506	4.78633498042	5.2805592212	4.91560694362	4.93424284479	5.1159529509
XLOC_013471	EMIHUDRAFT_458594	EMIHUscaffold_355:8816-10068	None	3.79589159923	3.16052816836	4.39627596336	4.72272830882	4.14193954175	4.95084163755	4.15974219466
XLOC_036013	EMIHUDRAFT_467198	KB864169:200249-203772	protein phosphorylation	1.75946266688	1.90607476138	1.86243948867	1.93153178359	1.92319863259	2.05386898692	1.75969274887
XLOC_002040	EMIHUDRAFT_108504	EMIHUscaffold_104:372201-373547	protein binding	3.78232468487	3.65743421786	3.73950250561	4.05288535448	3.55824313987	4.23485382728	3.72720165007
XLOC_036016	AP2A-2	KB864169:219218-221403	None	4.31926386403	4.25342205764	3.98602859316	4.00671093289	4.15102262941	4.04221531697	4.2737247446
XLOC_042319	EMIHUDRAFT_434409	KB864654:826298-829286	None	5.01807329398	4.57320484467	5.16857384607	5.85936084496	5.48162185827	5.9227282934	5.45659590513
XLOC_022699	NAD-ME_2	EMIHUscaffold_58:540516-543219	None	6.29344405919	6.70592262495	6.21288640122	6.40816327452	6.26925761473	6.08336443902	6.28346067314
XLOC_022698	EMIHUDRAFT_464871	EMIHUscaffold_58:533341-537987	metal ion transport	5.77027141327	5.52933372049	5.37739796009	5.52090620882	5.53221096661	5.54763490473	5.66914301573
XLOC_041364	EMIHUDRAFT_456156	KB864558:168316-170394	None	6.7296479319	6.62965095813	6.56480951014	6.79864676081	6.9707041326	6.91565235306	7.06475354114
XLOC_041366	EMIHUDRAFT_231188	KB864558:209322-211839	protein binding	3.60138750422	4.14757534722	3.69697308842	3.69872966632	3.40955115126	3.88480302893	3.41345191795
XLOC_015618	EMIHUDRAFT_461341	EMIHUscaffold_4:941508-943446	None	4.31570388549	4.35664387661	4.79490967743	4.79136608908	4.23167048264	4.96423226444	4.58767702101
XLOC_015612	EMIHUDRAFT_447945	EMIHUscaffold_4:906216-912105	acid phosphatase activity	2.97215590837	2.75536191052	3.12598661156	2.92644544609	2.54329542645	3.10088516431	2.53962784344
XLOC_027826	EMIHUDRAFT_438409	EMIHUscaffold_75:386133-389307	nucleotidyltransferase activity	5.07147094362	4.55977934463	4.84677410519	4.64070768146	4.77930700385	4.77889190709	4.89555953003
XLOC_017106	EMIHUDRAFT_445286	EMIHUscaffold_421:22397-23531	catalytic activity	4.94003986293	4.81000087009	5.54221161034	5.3955529857	5.17924430219	5.99945663284	5.57508235258
XLOC_017104	EMIHUDRAFT_316391	EMIHUscaffold_421:3381-6858	GTP binding	4.44985186519	4.43000420111	4.25177967695	4.77046436274	4.72040981237	4.34575118591	4.484118792
XLOC_022523	EMIHUDRAFT_247362,EMIHUDRAFT_459656	EMIHUscaffold_571:10124-12924	None	2.67539593064	2.437797672	2.41570188768	2.80796896725	2.62980655418	2.77330223029	2.70707194506
XLOC_042540	EMIHUDRAFT_232260,EMIHUDRAFT_456408	KB864655:44507-47918	None	5.81950725068	5.52602184817	5.53039229051	5.99265288367	5.85038439362	5.55958970268	5.83732769523
XLOC_003319	EMIHUDRAFT_448933	EMIHUscaffold_11:1240797-1245671	binding	5.64657455001	5.30937994358	5.18043433438	5.21553494113	5.31409104668	5.11422541399	5.35548853136
XLOC_043042	EMIHUDRAFT_442508	KB864700:99189-101035	lipid metabolic process	4.56982523548	4.36025189086	5.32965105252	5.81766418445	5.41350269258	5.99141073444	5.42910038476
XLOC_043047	EMIHUDRAFT_442514	KB864700:125723-127652	sialyltransferase activity	4.02392064862	4.07766172997	4.12539487161	4.13560874279	4.23204671335	4.30800403114	4.29650145846
XLOC_032624	EMIHUDRAFT_439223	EMIHUscaffold_96:7297-9818	glycerol ether metabolic process	2.60684252639	2.56701967349	2.79416213767	2.70628299113	2.64045434683	3.18985617925	2.72596141512
XLOC_032621	-	EMIHUscaffold_96:465802-472879	None	5.36340940355	5.91128651594	5.26547440323	5.40419126967	4.9268818502	5.2747871986	5.0783579217
XLOC_039370	EMIHUDRAFT_441547	KB864413:250119-253608	acyl-CoA dehydrogenase activity	4.71515756218	4.32957571344	4.45478785571	4.58003691633	4.79614606249	4.20447724375	4.55014957841
XLOC_032628	EMIHUDRAFT_417203	EMIHUscaffold_96:30698-32645	pentose-phosphate shunt	5.15757734391	5.01764135668	5.31685894681	5.10553142103	5.21716090671	5.18298620875	5.06130530111
XLOC_030719	EMIHUDRAFT_453634	EMIHUscaffold_88:417337-419810	None	3.06096045556	3.09127161593	3.34068759148	3.6395794798	3.8152167598	3.43889828379	3.51322037285
