Test_ID	Hit
XLOC_036531	&Aureococcus anophagefferens putative plastid light harvesting protein isoform 24 (LHC24), partial mRNA&Aureococcus anophagefferens putative plastid light harvesting protein isoform 45 (LHC45), partial mRNA&Aureococcus anophagefferens putative plastid light harvesting protein isoform 14 (LHC14), partial mRNA&Isochrysis galbana isolate 35 chloroplast light harvesting protein isoform 7 mRNA, complete cds; nuclear gene for chloroplast product&Aureococcus anophagefferens putative plastid light harvesting protein isoform 1 (LHC1), partial mRNA&Aureococcus anophagefferens putative plastid light harvesting protein isoform 44 (LHC44), partial mRNA&Aureococcus anophagefferens putative plastid light harvesting protein isoform 20 (LHC20), partial mRNA&Aureococcus anophagefferens putative plastid light harvesting protein isoform 21 (LHC21), mRNA&Aureococcus anophagefferens putative plastid light harvesting protein isoform 30 (LHC30), partial mRNA&Aureococcus anophagefferens putative plastid light harvesting protein isoform 2 (LHC2), partial mRNA
XLOC_026267	&Neofusicoccum parvum UCRNP2 putative nucleolar protein nop52 variant protein mRNA&Bos taurus DNA segment on chromosome 21 (unique) 2056 expressed sequence (D21S2056E), mRNA, complete cds&Bos taurus ribosomal RNA processing 1 (RRP1), mRNA >gi|109939912|gb|BC118310.1| Bos taurus ribosomal RNA processing 1 homolog (S. cerevisiae), mRNA (cDNA clone MGC:139768 IMAGE:8282401), complete cds&Phytophthora infestans T30-4 ribosomal RNA processing protein 1 (PITG_10725) mRNA, complete cds&Mus musculus ribosomal RNA processing 1 homolog B (S. cerevisiae) (Rrp1b), transcript variant 2, mRNA&Mus musculus ribosomal RNA processing 1 homolog B (S. cerevisiae) (Rrp1b), transcript variant 1, mRNA&Mus musculus ribosomal RNA processing 1 homolog B (S. cerevisiae), mRNA (cDNA clone MGC:27793 IMAGE:3157173), complete cds&Mus musculus mRNA for mKIAA0179 protein&Triticum aestivum cDNA, clone: WT002_N14, cultivar: Chinese Spring&Synthetic construct Homo sapiens clone ccsbBroadEn_07266 RRP1 gene, encodes complete protein
XLOC_020608	&Aureococcus anophagefferens putative plastid light harvesting protein isoform 14 (LHC14), partial mRNA&Aureococcus anophagefferens putative plastid light harvesting protein isoform 24 (LHC24), partial mRNA&Aureococcus anophagefferens putative plastid light harvesting protein isoform 45 (LHC45), partial mRNA&Aureococcus anophagefferens putative plastid light harvesting protein isoform 1 (LHC1), partial mRNA&Isochrysis galbana isolate 35 chloroplast light harvesting protein isoform 7 mRNA, complete cds; nuclear gene for chloroplast product&Ostreococcus tauri Meltrins, fertilins and related Zn-dependent metalloproteinases of the ADAMs family (ISS) (Ot04g04790) mRNA, complete cds&Aureococcus anophagefferens putative plastid light harvesting protein isoform 44 (LHC44), partial mRNA&Aureococcus anophagefferens putative plastid light harvesting protein isoform 20 (LHC20), partial mRNA&Aureococcus anophagefferens putative plastid light harvesting protein isoform 21 (LHC21), mRNA&Aureococcus anophagefferens putative plastid light harvesting protein isoform 30 (LHC30), partial mRNA
XLOC_028427	&Drosophila mojavensis GI16306 (Dmoj\GI16306), mRNA&Drosophila ananassae GF19414 (Dana\GF19414), mRNA&Drosophila persimilis GL26839 (Dper\GL26839), mRNA&Drosophila willistoni GK20144 (Dwil\GK20144), mRNA&Drosophila virilis GJ15642 (Dvir\GJ15642), mRNA&Homo sapiens proline-rich basic protein 1 (PROB1), mRNA
XLOC_007390	&Drosophila persimilis GL20210 (Dper\GL20210), mRNA&Drosophila pseudoobscura pseudoobscura GA13970 (Dpse\GA13970), mRNA&Drosophila ananassae GF20206 (Dana\GF20206), mRNA&Anopheles gambiae str. PEST AGAP002223-PA (AgaP_AGAP002223) mRNA, complete cds&Acanthamoeba castellanii str. Neff helicase conserved Cterminal domain containing protein (ACA1_326790) mRNA, complete cds&Eutypa lata UCREL1 putative pre-mrna-splicing factor atp-dependent rna helicase prp22 protein mRNA&Drosophila sechellia GM11277 (Dsec\GM11277), mRNA&Drosophila erecta GG18891 (Dere\GG18891), mRNA&Coccomyxa subellipsoidea C-169 P-loop containing nucleoside triphosphate hydrolase protein (COCSUDRAFT_57746) mRNA, complete cds&Coccomyxa subellipsoidea C-169 P-loop containing nucleoside triphosphate hydrolase protein (COCSUDRAFT_19976) mRNA, partial cds
XLOC_013688	&Zea mays clone 1599221 ferredoxin--nitrite reductase mRNA, complete cds&Zea mays (clone pCIB808) encoding maize nitrite reductase (NiR) cDNA to mRNA, partial cds
XLOC_001857	
XLOC_031505	&Gallus gallus finished cDNA, clone ChEST372k22&Gallus gallus dickkopf homolog 3 (Xenopus laevis) (DKK3), mRNA >gi|517092|dbj|D26311.1|CHKESTFLUA Gallus gallus mRNA, complete cds, clone:CLFEST4&Brachypodium distachyon mRNA, clone: PL016C01-A-091_L04&Brachypodium distachyon mRNA, clone: PL016C01-A-083_O11 >gi|554787159|dbj|AK424831.1| Brachypodium distachyon mRNA, clone: PL016C01-A-004_I23&Brachypodium distachyon mRNA, clone: PL016C01-A-048_J11 >gi|554779797|dbj|AK433568.1| Brachypodium distachyon mRNA, clone: PL016C01-A-060_H12&Brachypodium distachyon mRNA, clone: PL016C01-A-040_A03&Vetiveria zizanioides plasma membrane intrinsic protein (PIP1-1) mRNA, complete cds&Lolium perenne putative PIP-type aquaporin (APQ) mRNA, partial cds&Triticum aestivum aquaporin 8 (AQP8) mRNA, complete cds&Leymus chinensis plasma membrane intrinsic protein (PIP1) mRNA, complete cds
XLOC_026213	&Homo sapiens xylosyltransferase I (XYLT1) gene, partial cds&Homo sapiens xylosyltransferase I (XYLT1) gene, partial cds&Callithrix jacchus ankyrin repeat and KH domain containing 1 (ANKHD1), mRNA&Homo sapiens cDNA FLJ43151 fis, clone D3OST2002182, highly similar to Mus musculus glycosyltransferase 8 domain containing 3 (Glt8d3), mRNA
XLOC_013299	&Neosartorya fischeri NRRL 181 dihydrofolate reductase (NFIA_070630) partial mRNA&Aspergillus fumigatus Af293 dihydrofolate reductase (AFUA_3G06620), partial mRNA&Aspergillus oryzae RIB40 dihydrofolate reductase, mRNA&Aspergillus flavus NRRL3357 dihydrofolate reductase, mRNA
