Test_ID	Gene	Locus	GO_Term	ConstantCO2_LowpH	ConstantCO2_HighpH	pH7_LowCO2_2	pH7_MidCO2	pH7_HighCO2	pH8_LowCO2	pH8_MidCO2
XLOC_037949	EMIHUDRAFT_228245,EMIHUDRAFT_441170	KB864294:62915-67358	None	0.634563	0.609898	0.526266	0.802325	0.619004	0.827942	0.670933
XLOC_037941	EMIHUDRAFT_111102	KB864294:10-3716	protein ubiquitination	1.57325	2.5085	2.25422	1.85536	2.24851	1.79608	2.05218
XLOC_037940	EMIHUDRAFT_455521	KB864294:323631-324716	None	2.44549	2.2229	2.30495	1.19176	1.29078	2.36691	1.67988
XLOC_017763	EMIHUDRAFT_244971	EMIHUscaffold_440:17895-19138	None	12.4524	12.3585	12.1392	12.2598	10.7409	11.3363	11.6613
XLOC_017761	EMIHUDRAFT_118966	EMIHUscaffold_440:5357-6870	None	0.451281	0.378602	0.353995	0.347491	0.530403	0.407235	0.295833
XLOC_017760	EMIHUDRAFT_445394	EMIHUscaffold_440:424-1577	None	1.88496	2.50234	2.9548	3.21873	2.57022	2.39677	3.49254
XLOC_017767	-	EMIHUscaffold_440:32682-33281	None	49.8628	21.1462	25.595	36.8693	28.1818	28.5742	32.6781
XLOC_017765	EMIHUDRAFT_459143	EMIHUscaffold_440:24489-29649	None	3.27492	2.73937	2.9773	2.51366	2.08879	2.09439	2.54688
XLOC_013473	EMIHUDRAFT_369193	EMIHUscaffold_355:20136-22682	None	0.245257	0.436986	0.286186	0.313162	0.165669	0.39241	0.307572
XLOC_036011	EMIHUDRAFT_467196	KB864169:188922-192953	protein binding	12.0811	12.7822	9.94617	8.13987	9.25756	5.54171	10.3541
XLOC_013471	EMIHUDRAFT_458594	EMIHUscaffold_355:8816-10068	None	11.8892	6.94157	19.0577	24.4048	15.6542	28.928	15.8734
XLOC_036013	EMIHUDRAFT_467198	KB864169:200249-203772	protein phosphorylation	1.38572	1.74788	1.63622	1.8146	1.79263	2.15218	1.38626
XLOC_013477	EMIHUDRAFT_469986	EMIHUscaffold_355:38422-42943	hydrolase activity	0.200834	0.142333	0.225512	0.241704	0.231194	0.252212	0.308548
XLOC_013476	EMIHUDRAFT_469985	EMIHUscaffold_355:34062-37234	protein binding	1.02762	0.801643	0.730834	0.793291	0.796834	0.871438	0.906739
XLOC_036016	AP2A-2	KB864169:219218-221403	None	17.9631	17.0725	13.8458	14.0746	15.7657	14.4751	17.3428
XLOC_042313	EMIHUDRAFT_434401	KB864654:787358-789648	transferase activity, transferring phosphorus-containing groups	0.411828	0.427215	0.865906	0.418596	0.499671	0.664734	0.445399
XLOC_036018	EMIHUDRAFT_110258	KB864169:232799-236866	DNA binding	0.786019	0.655463	0.661716	0.709171	0.672741	0.961852	0.675974
XLOC_013479	EMIHUDRAFT_117692	EMIHUscaffold_355:58490-59156	None	0.250739	0.65038	0.303097	0.801641	0.472853	0.288791	0.227686
XLOC_042319	EMIHUDRAFT_434409	KB864654:826298-829286	None	30.4034	21.8052	33.9663	56.0555	42.682	58.6623	41.9136
XLOC_002561	EMIHUDRAFT_223106,EMIHUDRAFT_631919	EMIHUscaffold_108:13666-21781	None	29.9643	39.2765	28.5883	29.6747	28.1375	31.4091	35.892
XLOC_044502	EMIHUDRAFT_203830	KB864838:294633-484866	None	1.33934	1.86652	2.62924	0.83684	0.760574	1.10541	0.847057
XLOC_002560	-	EMIHUscaffold_108:11350-13312	None	2.81019	4.07081	4.12424	2.61758	2.86495	3.59765	3.4105
XLOC_026998	EMIHUDRAFT_68103	EMIHUscaffold_72:518565-522785	anaphase-promoting complex	49.5258	56.1077	47.1195	66.6556	57.9805	53.9271	60.6994
XLOC_026996	EMIHUDRAFT_217177	EMIHUscaffold_72:509727-512303	None	5.9602	5.27816	5.95311	6.03702	6.0412	5.67336	5.98203
XLOC_026997	EMIHUDRAFT_453006	EMIHUscaffold_72:518565-522785	None	3.52814	4.30958	3.8749	3.5604	4.41032	4.05945	3.91115
XLOC_026990	EMIHUDRAFT_68109	EMIHUscaffold_72:480151-482124	peroxidase activity	11.9235	5.98064	5.53672	6.76735	7.68487	2.48832	6.41455
XLOC_026991	EMIHUDRAFT_105898	EMIHUscaffold_72:482456-485525	None	0.728359	0.422219	0.415842	1.43503	0.819463	0.246763	0.458526
XLOC_026993	EMIHUDRAFT_631951	EMIHUscaffold_72:496398-501383	regulation of Rab GTPase activity	1.37353	1.66111	1.61223	1.97774	1.95513	1.98697	1.62882
XLOC_014110	-	EMIHUscaffold_367:39005-39851	None	8.53624	5.85624	6.08433	3.7973	3.82842	3.69794	4.41668
XLOC_043048	-	KB864700:138103-139139	None	3.17266	1.64903	1.0267	2.85636	3.93142	1.32126	1.35659
XLOC_035970	EMIHUDRAFT_455093	KB864169:252731-253681	nucleolus	9.48357	8.53746	4.08739	8.34646	10.1077	6.672	7.82956
XLOC_043043	EMIHUDRAFT_232824	KB864700:102974-104422	protein binding	5.18022	4.76472	4.04372	2.56748	2.78222	3.65749	3.95993
XLOC_043042	EMIHUDRAFT_442508	KB864700:99189-101035	lipid metabolic process	21.7495	18.5384	38.2147	54.4016	40.6213	61.6201	41.0846
XLOC_043041	EMIHUDRAFT_232819	KB864700:91689-93050	None	4.90603	5.92725	6.68903	3.20366	4.54811	5.0834	4.71663
XLOC_043040	-	KB864700:83840-84880	None	7.5323	6.88364	8.79071	6.97279	7.34707	11.0701	8.66637
XLOC_043047	EMIHUDRAFT_442514	KB864700:125723-127652	sialyltransferase activity	14.2675	14.8849	15.4529	15.5769	16.792	17.8079	17.6506
XLOC_043046	TK	KB864700:112525-117214	None	204.856	207.6	160.924	237.595	233.799	179.819	239.832
XLOC_043045	EMIHUDRAFT_232826	KB864700:107115-111383	ATP-dependent DNA helicase activity	0.939775	0.882862	0.933887	1.96847	2.97704	0.717327	1.89167
XLOC_042315	EMIHUDRAFT_352867	KB864654:797505-798300	None	0.458843	2.30034	1.25208	0.631233	1.3327	1.18415	1.25462
XLOC_036012	EMIHUDRAFT_226438	KB864169:197337-198832	None	0.165858	0.323767	0.201529	0.177875	0.180487	0.231197	0.252485
XLOC_042317	EMIHUDRAFT_462847	KB864654:806630-808743	None	0.532074	0.825584	0.467508	0.47907	0.475907	0.218509	0.326223
